date,gamma,elecro,lon,L
2023-11-0103:01:00.000,0.94966667,N/A,87.327171,1.2141200
2023-11-0103:02:00.000,1.0296667,N/A,86.527382,1.3145700
2023-11-0103:03:00.000,1.0880000,N/A,85.702568,1.4424800
2023-11-0103:04:00.000,1.2423333,N/A,84.845757,1.6042100
2023-11-0103:05:00.000,1.4413333,N/A,83.948608,1.8079799
2023-11-0103:06:00.000,1.9253333,N/A,83.000908,2.0653601
2023-11-0103:07:00.000,4.5028190,N/A,81.989929,2.3925400
2023-11-0103:08:00.000,9.2700000,N/A,80.899368,2.8117099
2023-11-0103:09:00.000,249.92867,N/A,79.707916,3.3507099
2023-11-0103:10:00.000,539.28133,0.000000e+0,78.387093,4.0411701
2023-11-0103:11:00.000,318.99567,0.000000e+0,76.897720,4.9263000
2023-11-0103:12:00.000,36.573333,N/A,75.184471,6.0659299
2023-11-0103:13:00.000,3.1280000,N/A,73.166496,7.5158801
2023-11-0103:14:00.000,2.0093333,N/A,70.721283,9.2591400
2023-11-0103:15:00.000,1.7803333,N/A,67.654770,11.136230
2023-11-0103:16:00.000,1.9576667,N/A,63.644058,12.793900
2023-11-0103:17:00.000,2.1743333,N/A,58.121578,13.738160
2023-11-0103:18:00.000,2.0360000,N/A,50.039761,13.616720
2023-11-0103:19:00.000,2.7183333,N/A,37.463310,12.507410
2023-11-0103:20:00.000,2.9906667,N/A,17.565041,10.843180
2023-11-0103:21:00.000,8.5693333,N/A,350.45346,9.0742702
2023-11-0103:22:00.000,30.398667,0.000000e+0,324.85641,7.4668498
2023-11-0103:23:00.000,360.55667,0.000000e+0,307.29535,6.1149201
2023-11-0103:24:00.000,688.66733,0.000000e+0,296.25671,5.0242000
2023-11-0103:25:00.000,572.57500,0.000000e+0,289.04895,4.1706800
2023-11-0103:26:00.000,54.640667,N/A,284.03427,3.5139599
2023-11-0103:27:00.000,14.061667,N/A,280.33521,3.0087099
2023-11-0103:28:00.000,12.633667,N/A,277.47070,2.6160700
2023-11-0103:29:00.000,4.2563333,N/A,275.16272,2.3074200
2023-11-0103:30:00.000,1.7720000,N/A,273.24173,2.0627501
2023-11-0103:31:00.000,2.0146667,N/A,271.59927,1.8661900
2023-11-0103:32:00.000,1.5700000,N/A,270.16299,1.7076300
2023-11-0103:33:00.000,1.6416667,N/A,268.88290,1.5787500
2023-11-0103:34:00.000,1.8666667,N/A,267.72330,1.4730000
2023-11-0103:35:00.000,1.7146667,N/A,266.65802,1.3857599
2023-11-0103:36:00.000,1.0860000,N/A,265.66739,1.3144300
2023-11-0103:37:00.000,1.1280000,N/A,264.73621,1.2564501
2023-11-0103:38:00.000,0.96133333,N/A,263.85260,1.2096300
2023-11-0103:39:00.000,1.2090000,N/A,263.00696,1.1730800
2023-11-0103:40:00.000,1.2100000,N/A,262.19138,1.1461200
2023-11-0103:41:00.000,1.1430000,N/A,261.39920,1.1270400
2023-11-0103:42:00.000,1.1233333,N/A,260.62473,1.1166300
2023-11-0103:43:00.000,1.1003333,N/A,259.86285,1.1145800
2023-11-0103:44:00.000,1.0310000,N/A,259.10895,1.1205601
2023-11-0103:45:00.000,0.92566667,N/A,258.35873,1.1357200
2023-11-0103:46:00.000,1.0496667,N/A,257.60782,1.1602800
2023-11-0103:47:00.000,0.90733333,N/A,256.85202,1.1962900
2023-11-0103:48:00.000,1.0466667,N/A,256.08688,1.2443500
2023-11-0103:49:00.000,1.2343333,N/A,255.30769,1.3068000
2023-11-0103:50:00.000,1.1853333,N/A,254.50917,1.3855900
2023-11-0103:51:00.000,1.1693333,N/A,253.68530,1.4844000
2023-11-0103:52:00.000,1.4066667,N/A,252.82915,1.6074100
2023-11-0103:53:00.000,1.3896667,N/A,251.93227,1.7597899
2023-11-0103:54:00.000,1.6750000,N/A,250.98444,1.9493300
2023-11-0103:55:00.000,2.6246667,N/A,249.97279,2.1869900
2023-11-0103:56:00.000,4.2380000,N/A,248.88091,2.4876001
2023-11-0103:57:00.000,27.477667,N/A,247.68723,2.8733900
2023-11-0103:58:00.000,323.50433,N/A,246.36293,3.3743899
2023-11-0103:59:00.000,537.53200,0.000000e+0,244.86830,4.0358601
2023-11-0104:00:00.000,319.31667,0.000000e+0,243.14709,4.9247699
2023-11-0104:01:00.000,25.855333,0.000000e+0,241.11702,6.1477699
2023-11-0104:02:00.000,1.7360000,N/A,238.65292,7.8769999
2023-11-0104:03:00.000,1.7660000,N/A,235.55602,10.360430
2023-11-0104:04:00.000,1.9080000,N/A,231.49422,13.907980
2023-11-0104:05:00.000,2.0300000,N/A,225.88120,18.734699
2023-11-0104:06:00.000,1.7780000,N/A,217.62975,24.355270
2023-11-0104:07:00.000,1.8790000,N/A,204.72981,28.614651
2023-11-0104:08:00.000,2.4826667,N/A,184.31078,28.583269
2023-11-0104:09:00.000,2.4606667,N/A,156.84956,24.324619
2023-11-0104:10:00.000,2.3310000,N/A,131.51343,18.850090
2023-11-0104:11:00.000,5.1273333,N/A,114.37095,14.072280
2023-11-0104:12:00.000,10.781667,N/A,103.62056,10.457310
2023-11-0104:13:00.000,196.08100,N/A,96.587082,7.8107200
2023-11-0104:14:00.000,500.57000,0.000000e+0,91.679878,5.9766002
2023-11-0104:15:00.000,598.01333,0.000000e+0,88.050377,4.7215199
2023-11-0104:16:00.000,127.12033,0.000000e+0,85.233078,3.8282900
2023-11-0104:17:00.000,7.2233333,N/A,82.958427,3.1665599
2023-11-0104:18:00.000,2.8560000,N/A,81.061752,2.6646700
2023-11-0104:19:00.000,1.8610000,N/A,79.437469,2.2790699
2023-11-0104:20:00.000,1.3563333,N/A,78.015038,1.9806499
2023-11-0104:21:00.000,1.1663333,N/A,76.745621,1.7471900
2023-11-0104:22:00.000,1.0236667,N/A,75.594307,1.5630701
2023-11-0104:23:00.000,0.95733333,N/A,74.535461,1.4169600
2023-11-0104:24:00.000,0.91033333,N/A,73.549767,1.3009501
2023-11-0104:25:00.000,0.82666667,N/A,72.622330,1.2097300
2023-11-0104:26:00.000,0.79700000,N/A,71.741432,1.1383600
2023-11-0104:27:00.000,0.77433333,N/A,70.897583,1.0841700
2023-11-0104:28:00.000,0.75733333,N/A,70.082993,1.0446200
2023-11-0104:29:00.000,0.80033333,N/A,69.291069,1.0180100
2023-11-0104:30:00.000,0.75366667,N/A,68.516129,1.0038100
2023-11-0104:31:00.000,0.76366667,N/A,67.753098,1.0013100
2023-11-0104:32:00.000,0.74900000,N/A,66.997330,1.0096300
2023-11-0104:33:00.000,0.78800000,N/A,66.244431,1.0295900
2023-11-0104:34:00.000,0.81966667,N/A,65.490112,1.0627500
2023-11-0104:35:00.000,0.83033333,N/A,64.730026,1.1088700
2023-11-0104:36:00.000,0.85300000,N/A,63.959641,1.1712300
2023-11-0104:37:00.000,0.93200000,N/A,63.174061,1.2515301
2023-11-0104:38:00.000,1.0030000,N/A,62.367821,1.3524600
2023-11-0104:39:00.000,1.1160000,N/A,61.534710,1.4779299
2023-11-0104:40:00.000,1.2466667,N/A,60.667389,1.6315500
2023-11-0104:41:00.000,1.3446667,N/A,59.757050,1.8183200
2023-11-0104:42:00.000,1.5386667,N/A,58.792858,2.0446000
2023-11-0104:43:00.000,3.4783333,N/A,57.761169,2.3176100
2023-11-0104:44:00.000,4.5406667,N/A,56.644459,2.6456499
2023-11-0104:45:00.000,28.490333,N/A,55.419651,3.0380399
2023-11-0104:46:00.000,493.33733,N/A,54.055641,3.5065999
2023-11-0104:47:00.000,599.60600,0.000000e+0,52.509369,4.0660100
2023-11-0104:48:00.000,533.46533,0.000000e+0,50.719452,4.7318602
2023-11-0104:49:00.000,356.72233,0.000000e+0,48.595322,5.5126600
2023-11-0104:50:00.000,75.182000,N/A,45.998051,6.3932600
2023-11-0104:51:00.000,13.369000,N/A,42.704689,7.3235402
2023-11-0104:52:00.000,3.7430000,N/A,38.338531,8.2141705
2023-11-0104:53:00.000,1.7210000,N/A,32.227310,8.9268303
2023-11-0104:54:00.000,1.9260000,N/A,23.119209,9.3018198
2023-11-0104:55:00.000,1.9516667,N/A,8.7609901,9.2245903
2023-11-0104:56:00.000,3.3590000,N/A,346.46722,8.6994400
2023-11-0104:57:00.000,34.969667,N/A,318.64594,7.8531699
2023-11-0104:58:00.000,94.391000,0.000000e+0,295.12106,6.8631902
2023-11-0104:59:00.000,475.88933,0.000000e+0,279.71381,5.8772602
2023-11-0105:00:00.000,681.82167,0.000000e+0,269.98895,4.9885802
2023-11-0105:01:00.000,638.73700,0.000000e+0,263.52655,4.2382998
2023-11-0105:02:00.000,105.58967,0.000000e+0,258.95108,3.6274199
2023-11-0105:03:00.000,14.354333,0.000000e+0,255.52579,3.1381900
2023-11-0105:04:00.000,19.262000,N/A,252.84109,2.7451501
2023-11-0105:05:00.000,10.112000,N/A,250.65659,2.4284401
2023-11-0105:06:00.000,1.9883333,N/A,248.82355,2.1710401
2023-11-0105:07:00.000,1.5853333,N/A,247.24564,1.9603000
2023-11-0105:08:00.000,1.2283333,N/A,245.85791,1.7869800
2023-11-0105:09:00.000,1.5016667,N/A,244.61507,1.6431700
2023-11-0105:10:00.000,1.3646667,N/A,243.48450,1.5236700
2023-11-0105:11:00.000,1.1726667,N/A,242.44211,1.4242899
2023-11-0105:12:00.000,1.0790000,N/A,241.46968,1.3413700
2023-11-0105:13:00.000,0.98833333,N/A,240.55307,1.2729599
2023-11-0105:14:00.000,0.97533333,N/A,239.68109,1.2168100
2023-11-0105:15:00.000,1.0716667,N/A,238.84470,1.1721801
2023-11-0105:16:00.000,1.0523333,N/A,238.03636,1.1373399
2023-11-0105:17:00.000,0.86000000,N/A,237.24974,1.1119601
2023-11-0105:18:00.000,1.0166667,N/A,236.47932,1.0953900
2023-11-0105:19:00.000,0.99266667,N/A,235.72015,1.0877500
2023-11-0105:20:00.000,1.0213333,N/A,234.96771,1.0888700
2023-11-0105:21:00.000,0.94966667,N/A,234.21768,1.0982900
2023-11-0105:22:00.000,0.92566667,N/A,233.46582,1.1172700
2023-11-0105:23:00.000,0.91466667,N/A,232.70784,1.1456300
2023-11-0105:24:00.000,1.0846667,N/A,231.93922,1.1853900
2023-11-0105:25:00.000,1.0373333,N/A,231.15512,1.2367600
2023-11-0105:26:00.000,1.0050000,N/A,230.35007,1.3018500
2023-11-0105:27:00.000,1.2423333,N/A,229.51784,1.3827600
2023-11-0105:28:00.000,1.0843333,N/A,228.65106,1.4817899
2023-11-0105:29:00.000,1.3583333,N/A,227.74091,1.6034400
2023-11-0105:30:00.000,1.5626667,N/A,226.77644,1.7525001
2023-11-0105:31:00.000,1.6100000,N/A,225.74396,1.9369400
2023-11-0105:32:00.000,6.9703333,N/A,224.62572,2.1667700
